date,week,start,max_p,min_p,end,hi,hiper,daka
19/01/15(火),火,262,267,256,265,-1,-0.4,876800
19/01/11(金),金,265,276,261,266,-6,-2.2,2319400
19/01/10(木),木,272,273,272,272,-80,-22.7,999000
19/01/09(水),水,367,368,348,352,-20,-5.4,648900
19/01/08(火),火,362,375,361,372,+20,+5.7,413600
19/01/07(月),月,350,357,347,352,+14,+4.1,236200
19/01/04(金),金,337,339,322,338,-7,-2.0,279100
18/12/28(金),金,356,360,345,345,-11,-3.1,236300
18/12/27(木),木,354,360,346,356,+22,+6.6,208000
18/12/26(水),水,333,350,326,334,+4,+1.2,312100
18/12/25(火),火,304,347,304,330,-30,-8.3,552500
18/12/21(金),金,340,365,333,360,+13,+3.7,545400
18/12/20(木),木,360,363,342,347,-21,-5.7,423600
18/12/19(水),水,361,375,360,368,+1,+0.3,225200
18/12/18(火),火,372,378,363,367,-17,-4.4,356100
18/12/17(月),月,388,389,377,384,-7,-1.8,236100
18/12/14(金),金,400,403,390,391,-9,-2.2,386700
18/12/13(木),木,400,406,397,400,0,0.0,205300
18/12/12(水),水,396,404,391,400,+9,+2.3,325500
18/12/11(火),火,405,413,390,391,-12,-3.0,376100
18/12/10(月),月,413,415,401,403,-18,-4.3,492500
18/12/07(金),金,439,440,421,421,-14,-3.2,310700
18/12/06(木),木,466,467,434,435,-37,-7.8,351300
18/12/05(水),水,462,475,461,472,-3,-0.6,157200
18/12/04(火),火,475,482,467,475,0,0.0,187400
18/12/03(月),月,470,476,467,475,+10,+2.2,159000
18/11/30(金),金,465,473,459,465,-1,-0.2,135700
18/11/29(木),木,468,468,460,466,+4,+0.9,145300
18/11/28(水),水,459,466,456,462,+3,+0.7,129200
18/11/27(火),火,458,466,453,459,+7,+1.5,185800
18/11/26(月),月,442,455,438,452,+13,+3.0,225500
18/11/22(木),木,429,441,420,439,+11,+2.6,296100
18/11/21(水),水,433,438,424,428,-13,-2.9,331100
18/11/20(火),火,477,477,438,441,-43,-8.9,594100
18/11/19(月),月,468,487,468,484,+14,+3.0,194800
18/11/16(金),金,481,486,469,470,-11,-2.3,193800
18/11/15(木),木,479,487,473,481,+2,+0.4,152700
18/11/14(水),水,480,491,478,479,-1,-0.2,190500
18/11/13(火),火,470,486,466,480,-6,-1.2,324700
18/11/12(月),月,477,494,477,486,+7,+1.5,231100
18/11/09(金),金,484,488,475,479,-1,-0.2,172700
18/11/08(木),木,485,488,478,480,+3,+0.6,127500
18/11/07(水),水,473,482,469,477,+6,+1.3,202900
18/11/06(火),火,483,488,468,471,-12,-2.5,222900
18/11/05(月),月,472,486,466,483,+9,+1.9,240700
18/11/02(金),金,471,481,470,474,+3,+0.6,213800
18/11/01(木),木,476,482,468,471,-1,-0.2,217100
18/10/31(水),水,473,477,468,472,+6,+1.3,211900
18/10/30(火),火,457,477,454,466,+1,+0.2,398300
18/10/29(月),月,467,476,462,465,+1,+0.2,379600
18/10/26(金),金,483,486,458,464,-5,-1.1,476000
18/10/25(木),木,488,490,466,469,-40,-7.9,667300
18/10/24(水),水,521,522,500,509,-10,-1.9,355500
18/10/23(火),火,524,532,517,519,-12,-2.3,395800
18/10/22(月),月,534,535,522,531,+5,+1.0,489700
18/10/19(金),金,516,536,512,526,+8,+1.5,714500
18/10/18(木),木,509,534,507,518,+11,+2.2,1066900
18/10/17(水),水,482,510,482,507,+35,+7.4,928000
18/10/16(火),火,471,478,456,472,-4,-0.8,533400
18/10/15(月),月,481,484,468,476,-6,-1.2,298100
18/10/12(金),金,471,487,470,482,+13,+2.8,326800
18/10/11(木),木,453,476,453,469,-8,-1.7,497700
18/10/10(水),水,479,492,466,477,-10,-2.1,493200
18/10/09(火),火,460,502,455,487,+24,+5.2,961700
18/10/05(金),金,479,482,463,463,-21,-4.3,611500
18/10/04(木),木,482,489,470,484,+1,+0.2,609600
18/10/03(水),水,499,509,476,483,-11,-2.2,517300
18/10/02(火),火,479,500,479,494,+15,+3.1,598300
18/10/01(月),月,483,489,473,479,+4,+0.8,379400
18/09/28(金),金,490,504,460,475,-3,-0.6,781800
18/09/27(木),木,506,512,472,478,-26,-5.2,750800
18/09/26(水),水,492,507,491,504,+18,+3.7,753400
18/09/25(火),火,485,504,476,486,+13,+2.7,1352100
18/09/21(金),金,445,484,445,473,+52,+12.4,2660600
18/09/20(木),木,427,430,419,421,-7,-1.6,173800
18/09/19(水),水,444,458,426,428,-11,-2.5,460100
18/09/18(火),火,420,440,419,439,+19,+4.5,226500
18/09/14(金),金,412,423,412,420,+6,+1.4,146300
18/09/13(木),木,415,419,411,414,-1,-0.2,119700
18/09/12(水),水,424,427,412,415,-8,-1.9,142600
18/09/11(火),火,421,425,417,423,+6,+1.4,202400
18/09/10(月),月,413,419,412,417,+4,+1.0,101700
18/09/07(金),金,414,415,405,413,-3,-0.7,200700
18/09/06(木),木,421,421,413,416,-5,-1.2,124700
18/09/05(水),水,417,427,413,421,+5,+1.2,120300
18/09/04(火),火,416,419,411,416,+3,+0.7,127800
18/09/03(月),月,427,427,412,413,-12,-2.8,222100
18/08/31(金),金,424,432,422,425,0,0.0,180800
18/08/30(木),木,422,431,421,425,+3,+0.7,150000
18/08/29(水),水,421,430,421,422,-1,-0.2,166200
18/08/28(火),火,432,434,422,423,-7,-1.6,128200
18/08/27(月),月,426,434,424,430,+4,+0.9,146500
18/08/24(金),金,437,437,426,426,-8,-1.8,155000
18/08/23(木),木,428,436,425,434,+2,+0.5,135800
18/08/22(水),水,434,435,426,432,-2,-0.5,132300
18/08/21(火),火,419,437,406,434,+9,+2.1,317000
18/08/20(月),月,430,434,424,425,-3,-0.7,224700
18/08/17(金),金,420,430,420,428,+11,+2.6,109700
18/08/16(木),木,425,425,412,417,-8,-1.9,180200
18/08/15(水),水,418,435,418,425,+10,+2.4,344200
18/08/14(火),火,403,416,403,415,+12,+3.0,196100
18/08/13(月),月,406,411,399,403,-5,-1.2,331200
18/08/10(金),金,421,424,405,408,-11,-2.6,324400
